absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5
-3.75,23.28,-3.71,,-6.19,2017-11-08 00:00:00,1132.88,-0.33,2.01,-0.33,,-0.55,1129.13,1156.16,1129.17,,1126.69
-25.96,-89.08,-49.81,-66.53,-59.08,2017-07-27 00:00:00,1046.0,-2.54,-9.31,-5.0,-6.79,-5.99,1020.04,956.92,996.19,979.47,986.92
-1.33,31.4,9.02,53.28,-4.19,2017-05-10 00:00:00,948.95,-0.14,3.2,0.94,5.32,-0.44,947.62,980.35,957.97,1002.23,944.76
1.44,10.38,2.37,31.62,12.91,2017-02-15 00:00:00,842.7,0.17,1.22,0.28,3.62,1.51,844.14,853.08,845.07,874.32,855.61
-3.37,37.74,0.86,23.96,14.02,2016-11-10 00:00:00,742.38,-0.46,4.84,0.12,3.13,1.85,739.01,780.12,743.24,766.34,756.4
15.94,31.89,31.07,47.81,17.97,2016-07-27 00:00:00,736.67,2.12,4.15,4.05,6.09,2.38,752.61,768.56,767.74,784.48,754.64
-11.81,26.55,8.85,43.36,42.33,2016-05-04 00:00:00,670.9,-1.79,3.81,1.3,6.07,5.93,659.09,697.45,679.75,714.26,713.23
13.34,63.56,16.6,79.15,43.62,2016-02-10 00:00:00,490.48,2.65,11.47,3.27,13.89,8.17,503.82,554.04,507.08,569.63,534.1
14.7,22.59,14.54,34.82,32.3,2015-11-04 00:00:00,640.95,2.24,3.4,2.22,5.15,4.8,655.65,663.54,655.49,675.77,673.25
-7.55,-4.09,-13.01,-9.62,-11.1,2015-08-05 00:00:00,537.01,-1.43,-0.77,-2.48,-1.82,-2.11,529.46,532.92,524.0,527.39,525.91
7.78,4.76,13.75,8.71,7.77,2015-05-06 00:00:00,419.1,1.82,1.12,3.18,2.04,1.82,426.88,423.86,432.85,427.81,426.87
2.03,10.23,6.69,-4.18,-1.77,2015-02-11 00:00:00,375.14,0.54,2.65,1.75,-1.13,-0.47,377.17,385.37,381.83,370.96,373.37
0.12,30.02,8.59,2.36,14.99,2014-11-05 00:00:00,296.52,0.04,9.19,2.82,0.79,4.81,296.64,326.54,305.11,298.88,311.51
