Ticker,Date,,
wix,08/11/17,,
wix,27/07/17,,
wix,10/05/17,,
wix,15/02/17,,
wix,10/11/16,,
wix,27/07/16,,
wix,04/05/16,,
wix,10/02/16,,
wix,04/11/15,,
wix,05/08/15,,
wix,06/05/15,,
wix,11/02/15,,
wix,05/11/14,,
wix,06/08/14,,
wix,13/05/14,,
wix,12/02/14,,
shop,31/10/17,,
shop,01/08/17,,
shop,02/05/17,,
shop,15/02/17,,
shop,02/11/16,,
shop,03/08/16,,
shop,04/05/16,,
shop,17/02/16,,
shop,04/11/15,,
shop,30/07/15,,
hubs,08/11/17,,
hubs,02/08/17,,
hubs,02/05/17,,
hubs,14/02/17,,
hubs,02/11/16,,
hubs,03/08/16,,
hubs,04/05/16,,
hubs,10/02/16,,
hubs,04/11/15,,
hubs,06/08/15,,
hubs,06/05/15,,
hubs,11/02/15,,
trip,07/11/17,,
trip,09/08/17,,
trip,10/05/17,,
trip,16/02/17,,
trip,09/11/16,,
trip,04/08/16,,
trip,10/05/16,,
trip,11/02/16,,
trip,05/11/15,,
trip,23/07/15,,
trip,06/05/15,,
trip,11/02/15,,
trip,04/11/14,,
trip,23/07/14,,
trip,06/05/14,,
trip,11/02/14,,
trip,23/11/13,,
trip,24/07/13,,
trip,07/05/13,,
trip,13/02/13,,
trip,01/11/12,,
trip,24/07/12,,
trip,01/05/12,,
expe,26/10/17,,
expe,27/07/17,,
expe,27/04/17,,
expe,09/02/17,,
expe,27/10/16,,
expe,28/07/16,,
expe,28/04/16,,
expe,10/02/16,,
expe,29/10/15,,
expe,30/07/15,,
expe,30/04/15,,
expe,05/02/15,,
expe,30/10/14,,
expe,31/07/14,,
expe,01/05/14,,
expe,06/02/14,,
expe,30/10/13,,
expe,25/07/13,,
expe,25/04/13,,
expe,05/02/13,,
expe,25/10/12,,
expe,26/07/12,,
expe,26/04/12,,
expe,09/02/12,,
expe,27/10/11,,
expe,28/07/11,,
expe,28/04/11,,
expe,10/02/11,,
pcln,06/11/17,,
pcln,08/08/17,,
pcln,09/05/17,,
pcln,27/02/17,,
pcln,07/11/16,,
pcln,04/08/16,,
pcln,04/05/16,,
pcln,17/02/16,,
pcln,09/11/15,,
pcln,05/08/15,,
pcln,07/05/15,,
pcln,19/02/15,,
pcln,04/11/14,,
pcln,11/08/14,,
pcln,08/05/14,,
pcln,20/02/14,,
pcln,07/11/13,,
pcln,08/08/13,,
pcln,09/05/13,,
pcln,26/02/13,,
pcln,01/11/12,,
pcln,07/08/12,,
pcln,09/05/12,,
pcln,27/02/12,,
pcln,07/11/11,,
pcln,04/08/11,,
pcln,05/05/11,,
pcln,23/02/11,,
yelp,01/11/17,,
yelp,03/08/17,,
yelp,09/05/17,,
yelp,09/02/17,,
yelp,02/11/16,,
yelp,09/08/16,,
yelp,08/02/16,,
yelp,28/10/15,,
yelp,28/07/15,,
yelp,29/04/15,,
yelp,05/02/15,,
yelp,22/10/14,,
yelp,30/07/14,,
yelp,30/04/14,,
yelp,05/02/14,,`
yelp,29/10/13,,
yelp,31/07/13,,
yelp,01/05/13,,
yelp,06/02/13,,
yelp,01/11/12,,
yelp,01/08/12,,
yelp,02/05/12,,
ebay,18/10/17,,
ebay,20/07/17,,
ebay,01/03/17,,
ebay,25/01/17,,
ebay,18/10/16,,
ebay,20/07/16,,
ebay,26/04/16,,
ebay,27/01/16,,
ebay,21/10/15,,
ebay,16/07/15,,
ebay,22/04/15,,
ebay,21/01/15,,
ebay,15/10/14,,
ebay,16/07/14,,
ebay,29/04/14,,
ebay,22/01/14,,
ebay,16/10/13,,
ebay,17/07/13,,
ebay,17/04/13,,
ebay,16/01/13,,
ebay,17/10/12,,
ebay,18/07/12,,
ebay,18/04/12,,
ebay,18/01/12,,
ebay,19/10/11,,
ebay,20/07/11,,
ebay,27/04/11,,
ebay,19/01/11,,
