ticker,announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30
ebay,2017-10-18 00:00:00,37.97,37.29,-0.68,-1.82,36.83,-1.14,-3.1,36.68,-1.29,-3.52,37.54,-0.43,-1.15,,,
ebay,2017-07-20 00:00:00,37.18,36.61,-0.57,-1.56,36.32,-0.86,-2.37,36.17,-1.01,-2.79,35.71,-1.47,-4.12,36.13,-1.05,-2.91
ebay,2017-03-01 00:00:00,34.27,33.91,-0.36,-1.06,33.64,-0.63,-1.87,33.32,-0.95,-2.85,32.89,-1.38,-4.2,34.27,-0.0,-0.0
ebay,2017-01-25 00:00:00,30.23,31.74,1.51,4.76,32.17,1.94,6.03,32.18,1.95,6.06,33.25,3.02,9.08,33.32,3.09,9.27
ebay,2016-10-18 00:00:00,31.64,32.52,0.88,2.71,29.06,-2.58,-8.88,29.05,-2.59,-8.92,28.38,-3.26,-11.49,28.51,-3.13,-10.98
ebay,2016-07-20 00:00:00,26.99,29.93,2.94,9.82,30.68,3.69,12.03,31.31,4.32,13.8,30.95,3.96,12.79,32.16,5.17,16.08
ebay,2016-04-26 00:00:00,24.49,25.27,0.78,3.09,24.43,-0.06,-0.25,23.98,-0.51,-2.13,24.16,-0.33,-1.37,24.28,-0.21,-0.86
ebay,2016-01-27 00:00:00,26.42,23.13,-3.29,-14.22,23.94,-2.48,-10.36,23.5,-2.92,-12.43,22.32,-4.1,-18.37,23.95,-2.47,-10.31
ebay,2015-10-21 00:00:00,24.21,27.58,3.37,12.22,28.17,3.96,14.06,28.25,4.04,14.3,29.3,5.09,17.37,28.97,4.76,16.43
ebay,2015-07-16 00:00:00,27.61,27.9,0.29,1.04,28.6,0.99,3.46,28.43,0.82,2.88,28.37,0.76,2.68,27.1,-0.51,-1.88
ebay,2015-04-22 00:00:00,23.88,24.79,0.91,3.67,24.87,0.99,3.98,24.78,0.9,3.63,24.2,0.32,1.32,26.1,2.22,8.51
ebay,2015-01-21 00:00:00,22.47,24.05,1.58,6.57,23.59,1.12,4.75,22.66,0.19,0.84,22.61,0.14,0.62,24.54,2.07,8.44
expe,2017-10-26 00:00:00,147.35,123.79,-23.56,-19.03,124.66,-22.69,-18.2,123.51,-23.84,-19.3,117.32,-30.03,-25.6,,,
expe,2017-07-27 00:00:00,154.25,159.5,5.25,3.29,152.69,-1.56,-1.02,153.68,-0.57,-0.37,143.55,-10.7,-7.45,143.97,-10.28,-7.14
expe,2017-04-27 00:00:00,136.2,133.72,-2.48,-1.85,138.99,2.79,2.01,141.1,4.9,3.47,139.86,3.66,2.62,149.22,13.02,8.73
expe,2017-02-09 00:00:00,123.25,122.65,-0.6,-0.49,119.67,-3.58,-2.99,119.85,-3.4,-2.84,119.63,-3.62,-3.03,127.04,3.79,2.98
expe,2016-10-27 00:00:00,126.42,131.64,5.22,3.97,125.99,-0.43,-0.34,125.29,-1.13,-0.9,123.63,-2.79,-2.26,123.0,-3.42,-2.78
expe,2016-07-28 00:00:00,119.27,116.65,-2.62,-2.25,113.55,-5.72,-5.04,113.51,-5.76,-5.07,114.8,-4.47,-3.89,114.07,-5.2,-4.56
expe,2016-04-28 00:00:00,106.99,115.77,8.78,7.58,115.97,8.98,7.74,112.55,5.56,4.94,112.94,5.95,5.27,109.11,2.12,1.94
expe,2016-02-10 00:00:00,94.35,103.37,9.02,8.73,102.25,7.9,7.73,110.88,16.53,14.91,104.4,10.05,9.63,108.99,14.64,13.43
expe,2015-10-29 00:00:00,127.06,136.3,9.24,6.78,136.39,9.33,6.84,137.31,10.25,7.46,127.94,0.88,0.69,125.61,-1.45,-1.15
expe,2015-07-30 00:00:00,107.61,121.44,13.83,11.39,124.56,16.95,13.61,121.6,13.99,11.5,120.66,13.05,10.82,115.94,8.33,7.18
expe,2015-04-30 00:00:00,94.23,101.69,7.46,7.34,98.77,4.54,4.6,100.97,6.74,6.68,104.14,9.91,9.52,107.87,13.64,12.64
expe,2015-02-05 00:00:00,88.0,77.87,-10.13,-13.01,78.19,-9.81,-12.55,89.57,1.57,1.75,91.3,3.3,3.61,94.68,6.68,7.06
shop,2017-10-31 00:00:00,99.49,96.2,-3.29,-3.42,98.71,-0.78,-0.79,99.71,0.22,0.22,98.97,-0.52,-0.53,,,
shop,2017-08-01 00:00:00,104.08,98.35,-5.73,-5.83,96.28,-7.8,-8.1,96.51,-7.57,-7.84,93.15,-10.93,-11.73,120.5,16.42,13.63
shop,2017-05-02 00:00:00,82.98,81.72,-1.26,-1.54,85.53,2.55,2.98,89.15,6.17,6.92,94.93,11.95,12.59,86.93,3.95,4.54
shop,2017-02-15 00:00:00,60.61,60.97,0.36,0.59,61.52,0.91,1.48,63.59,2.98,4.69,59.65,-0.96,-1.61,72.72,12.11,16.65
shop,2016-11-02 00:00:00,43.57,40.41,-3.16,-7.82,40.15,-3.42,-8.52,40.58,-2.99,-7.37,40.36,-3.21,-7.95,41.75,-1.82,-4.36
shop,2016-08-03 00:00:00,36.79,36.85,0.06,0.16,38.31,1.52,3.97,39.29,2.5,6.36,38.74,1.95,5.03,40.9,4.11,10.05
shop,2016-05-04 00:00:00,29.61,28.52,-1.09,-3.82,26.46,-3.15,-11.9,26.27,-3.34,-12.71,26.34,-3.27,-12.41,28.66,-0.95,-3.31
