absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
-0.68,-0.43,-1.14,,-1.29,2017-10-18 00:00:00,37.97,-1.82,-1.15,-3.1,,-3.52,37.29,37.54,36.83,,36.68,ebay
-0.57,-1.47,-0.86,-1.05,-1.01,2017-07-20 00:00:00,37.18,-1.56,-4.12,-2.37,-2.91,-2.79,36.61,35.71,36.32,36.13,36.17,ebay
-0.36,-1.38,-0.63,-0.0,-0.95,2017-03-01 00:00:00,34.27,-1.06,-4.2,-1.87,-0.0,-2.85,33.91,32.89,33.64,34.27,33.32,ebay
1.51,3.02,1.94,3.09,1.95,2017-01-25 00:00:00,30.23,4.76,9.08,6.03,9.27,6.06,31.74,33.25,32.17,33.32,32.18,ebay
0.88,-3.26,-2.58,-3.13,-2.59,2016-10-18 00:00:00,31.64,2.71,-11.49,-8.88,-10.98,-8.92,32.52,28.38,29.06,28.51,29.05,ebay
2.94,3.96,3.69,5.17,4.32,2016-07-20 00:00:00,26.99,9.82,12.79,12.03,16.08,13.8,29.93,30.95,30.68,32.16,31.31,ebay
0.78,-0.33,-0.06,-0.21,-0.51,2016-04-26 00:00:00,24.49,3.09,-1.37,-0.25,-0.86,-2.13,25.27,24.16,24.43,24.28,23.98,ebay
-3.29,-4.1,-2.48,-2.47,-2.92,2016-01-27 00:00:00,26.42,-14.22,-18.37,-10.36,-10.31,-12.43,23.13,22.32,23.94,23.95,23.5,ebay
3.37,5.09,3.96,4.76,4.04,2015-10-21 00:00:00,24.21,12.22,17.37,14.06,16.43,14.3,27.58,29.3,28.17,28.97,28.25,ebay
0.29,0.76,0.99,-0.51,0.82,2015-07-16 00:00:00,27.61,1.04,2.68,3.46,-1.88,2.88,27.9,28.37,28.6,27.1,28.43,ebay
0.91,0.32,0.99,2.22,0.9,2015-04-22 00:00:00,23.88,3.67,1.32,3.98,8.51,3.63,24.79,24.2,24.87,26.1,24.78,ebay
1.58,0.14,1.12,2.07,0.19,2015-01-21 00:00:00,22.47,6.57,0.62,4.75,8.44,0.84,24.05,22.61,23.59,24.54,22.66,ebay
