announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30,ticker
2017-10-18 00:00:00,37.97,37.29,-0.68,-1.82,36.83,-1.14,-3.1,36.68,-1.29,-3.52,37.54,-0.43,-1.15,,,,ebay
2017-07-20 00:00:00,37.18,36.61,-0.57,-1.56,36.32,-0.86,-2.37,36.17,-1.01,-2.79,35.71,-1.47,-4.12,36.13,-1.05,-2.91,ebay
2017-03-01 00:00:00,34.27,33.91,-0.36,-1.06,33.64,-0.63,-1.87,33.32,-0.95,-2.85,32.89,-1.38,-4.2,34.27,-0.0,-0.0,ebay
2017-01-25 00:00:00,30.23,31.74,1.51,4.76,32.17,1.94,6.03,32.18,1.95,6.06,33.25,3.02,9.08,33.32,3.09,9.27,ebay
2016-10-18 00:00:00,31.64,32.52,0.88,2.71,29.06,-2.58,-8.88,29.05,-2.59,-8.92,28.38,-3.26,-11.49,28.51,-3.13,-10.98,ebay
2016-07-20 00:00:00,26.99,29.93,2.94,9.82,30.68,3.69,12.03,31.31,4.32,13.8,30.95,3.96,12.79,32.16,5.17,16.08,ebay
2016-04-26 00:00:00,24.49,25.27,0.78,3.09,24.43,-0.06,-0.25,23.98,-0.51,-2.13,24.16,-0.33,-1.37,24.28,-0.21,-0.86,ebay
2016-01-27 00:00:00,26.42,23.13,-3.29,-14.22,23.94,-2.48,-10.36,23.5,-2.92,-12.43,22.32,-4.1,-18.37,23.95,-2.47,-10.31,ebay
2015-10-21 00:00:00,24.21,27.58,3.37,12.22,28.17,3.96,14.06,28.25,4.04,14.3,29.3,5.09,17.37,28.97,4.76,16.43,ebay
2015-07-16 00:00:00,27.61,27.9,0.29,1.04,28.6,0.99,3.46,28.43,0.82,2.88,28.37,0.76,2.68,27.1,-0.51,-1.88,ebay
2015-04-22 00:00:00,23.88,24.79,0.91,3.67,24.87,0.99,3.98,24.78,0.9,3.63,24.2,0.32,1.32,26.1,2.22,8.51,ebay
2015-01-21 00:00:00,22.47,24.05,1.58,6.57,23.59,1.12,4.75,22.66,0.19,0.84,22.61,0.14,0.62,24.54,2.07,8.44,ebay
