absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
-23.56,-30.03,-22.69,,-23.84,2017-10-26 00:00:00,147.35,-19.03,-25.6,-18.2,,-19.3,123.79,117.32,124.66,,123.51,expe
5.25,-10.7,-1.56,-10.28,-0.57,2017-07-27 00:00:00,154.25,3.29,-7.45,-1.02,-7.14,-0.37,159.5,143.55,152.69,143.97,153.68,expe
-2.48,3.66,2.79,13.02,4.9,2017-04-27 00:00:00,136.2,-1.85,2.62,2.01,8.73,3.47,133.72,139.86,138.99,149.22,141.1,expe
-0.6,-3.62,-3.58,3.79,-3.4,2017-02-09 00:00:00,123.25,-0.49,-3.03,-2.99,2.98,-2.84,122.65,119.63,119.67,127.04,119.85,expe
5.22,-2.79,-0.43,-3.42,-1.13,2016-10-27 00:00:00,126.42,3.97,-2.26,-0.34,-2.78,-0.9,131.64,123.63,125.99,123.0,125.29,expe
-2.62,-4.47,-5.72,-5.2,-5.76,2016-07-28 00:00:00,119.27,-2.25,-3.89,-5.04,-4.56,-5.07,116.65,114.8,113.55,114.07,113.51,expe
8.78,5.95,8.98,2.12,5.56,2016-04-28 00:00:00,106.99,7.58,5.27,7.74,1.94,4.94,115.77,112.94,115.97,109.11,112.55,expe
9.02,10.05,7.9,14.64,16.53,2016-02-10 00:00:00,94.35,8.73,9.63,7.73,13.43,14.91,103.37,104.4,102.25,108.99,110.88,expe
9.24,0.88,9.33,-1.45,10.25,2015-10-29 00:00:00,127.06,6.78,0.69,6.84,-1.15,7.46,136.3,127.94,136.39,125.61,137.31,expe
13.83,13.05,16.95,8.33,13.99,2015-07-30 00:00:00,107.61,11.39,10.82,13.61,7.18,11.5,121.44,120.66,124.56,115.94,121.6,expe
7.46,9.91,4.54,13.64,6.74,2015-04-30 00:00:00,94.23,7.34,9.52,4.6,12.64,6.68,101.69,104.14,98.77,107.87,100.97,expe
-10.13,3.3,-9.81,6.68,1.57,2015-02-05 00:00:00,88.0,-13.01,3.61,-12.55,7.06,1.75,77.87,91.3,78.19,94.68,89.57,expe
