announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30,ticker
2017-10-26 00:00:00,147.35,123.79,-23.56,-19.03,124.66,-22.69,-18.2,123.51,-23.84,-19.3,117.32,-30.03,-25.6,,,,expe
2017-07-27 00:00:00,154.25,159.5,5.25,3.29,152.69,-1.56,-1.02,153.68,-0.57,-0.37,143.55,-10.7,-7.45,143.97,-10.28,-7.14,expe
2017-04-27 00:00:00,136.2,133.72,-2.48,-1.85,138.99,2.79,2.01,141.1,4.9,3.47,139.86,3.66,2.62,149.22,13.02,8.73,expe
2017-02-09 00:00:00,123.25,122.65,-0.6,-0.49,119.67,-3.58,-2.99,119.85,-3.4,-2.84,119.63,-3.62,-3.03,127.04,3.79,2.98,expe
2016-10-27 00:00:00,126.42,131.64,5.22,3.97,125.99,-0.43,-0.34,125.29,-1.13,-0.9,123.63,-2.79,-2.26,123.0,-3.42,-2.78,expe
2016-07-28 00:00:00,119.27,116.65,-2.62,-2.25,113.55,-5.72,-5.04,113.51,-5.76,-5.07,114.8,-4.47,-3.89,114.07,-5.2,-4.56,expe
2016-04-28 00:00:00,106.99,115.77,8.78,7.58,115.97,8.98,7.74,112.55,5.56,4.94,112.94,5.95,5.27,109.11,2.12,1.94,expe
2016-02-10 00:00:00,94.35,103.37,9.02,8.73,102.25,7.9,7.73,110.88,16.53,14.91,104.4,10.05,9.63,108.99,14.64,13.43,expe
2015-10-29 00:00:00,127.06,136.3,9.24,6.78,136.39,9.33,6.84,137.31,10.25,7.46,127.94,0.88,0.69,125.61,-1.45,-1.15,expe
2015-07-30 00:00:00,107.61,121.44,13.83,11.39,124.56,16.95,13.61,121.6,13.99,11.5,120.66,13.05,10.82,115.94,8.33,7.18,expe
2015-04-30 00:00:00,94.23,101.69,7.46,7.34,98.77,4.54,4.6,100.97,6.74,6.68,104.14,9.91,9.52,107.87,13.64,12.64,expe
2015-02-05 00:00:00,88.0,77.87,-10.13,-13.01,78.19,-9.81,-12.55,89.57,1.57,1.75,91.3,3.3,3.61,94.68,6.68,7.06,expe
