announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30,ticker
2017-11-06 00:00:00,1903.0,1645.72,-257.28,-15.63,1703.14,-199.86,-11.73,1722.15,-180.85,-10.5,1754.02,-148.98,-8.49,,,,pcln
2017-08-08 00:00:00,2049.0,1906.8,-142.2,-7.46,1854.17,-194.83,-10.51,1860.84,-188.16,-10.11,1818.2,-230.8,-12.69,1859.78,-189.22,-10.17,pcln
2017-05-09 00:00:00,1911.13,1824.77,-86.36,-4.73,1818.18,-92.95,-5.11,1829.8,-81.33,-4.44,1827.94,-83.19,-4.55,1850.64,-60.49,-3.27,pcln
2017-02-27 00:00:00,1632.01,1724.13,92.12,5.34,1734.37,102.36,5.9,1730.21,98.2,5.68,1767.12,135.11,7.65,1775.97,143.96,8.11,pcln
2016-11-07 00:00:00,1480.33,1578.13,97.8,6.2,1554.32,73.99,4.76,1489.18,8.85,0.59,1524.18,43.85,2.88,1488.83,8.5,0.57,pcln
2016-08-04 00:00:00,1359.99,1414.22,54.23,3.83,1407.01,47.02,3.34,1406.92,46.93,3.34,1443.07,83.08,5.76,1457.22,97.23,6.67,pcln
2016-05-04 00:00:00,1253.04,1240.85,-12.19,-0.98,1244.92,-8.12,-0.65,1267.31,14.27,1.13,1267.27,14.23,1.12,1305.42,52.38,4.01,pcln
2016-02-17 00:00:00,1235.56,1251.95,16.39,1.31,1288.42,52.86,4.1,1264.21,28.65,2.27,1301.37,65.81,5.06,1317.03,81.47,6.19,pcln
2015-11-09 00:00:00,1311.15,1323.54,12.39,0.94,1314.01,2.86,0.22,1266.87,-44.28,-3.5,1264.32,-46.83,-3.7,1275.71,-35.44,-2.78,pcln
2015-08-05 00:00:00,1351.21,1351.8,0.59,0.04,1323.75,-27.46,-2.07,1294.71,-56.5,-4.36,1291.35,-59.86,-4.64,1320.48,-30.73,-2.33,pcln
2015-05-07 00:00:00,1213.49,1204.76,-8.73,-0.72,1183.47,-30.02,-2.54,1190.09,-23.4,-1.97,1212.63,-0.86,-0.07,1173.96,-39.53,-3.37,pcln
2015-02-19 00:00:00,1218.05,1216.23,-1.82,-0.15,1219.79,1.74,0.14,1241.25,23.2,1.87,1231.9,13.85,1.12,1160.44,-57.61,-4.96,pcln
