announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30,ticker
2017-11-06 00:00:00,1903.0,1645.72,-257.28,-15.63,1703.14,-199.86,-11.73,1722.15,-180.85,-10.5,1754.02,-148.98,-8.49,,,,pcln
2017-08-08 00:00:00,2049.0,1906.8,-142.2,-7.46,1854.17,-194.83,-10.51,1860.84,-188.16,-10.11,1818.2,-230.8,-12.69,1859.78,-189.22,-10.17,pcln
2017-05-09 00:00:00,1911.13,1824.77,-86.36,-4.73,1818.18,-92.95,-5.11,1829.8,-81.33,-4.44,1827.94,-83.19,-4.55,1850.64,-60.49,-3.27,pcln
2017-02-27 00:00:00,1632.01,1724.13,92.12,5.34,1734.37,102.36,5.9,1730.21,98.2,5.68,1767.12,135.11,7.65,1775.97,143.96,8.11,pcln
2016-11-07 00:00:00,1480.33,1578.13,97.8,6.2,1554.32,73.99,4.76,1489.18,8.85,0.59,1524.18,43.85,2.88,1488.83,8.5,0.57,pcln
2016-08-04 00:00:00,1359.99,1414.22,54.23,3.83,1407.01,47.02,3.34,1406.92,46.93,3.34,1443.07,83.08,5.76,1457.22,97.23,6.67,pcln
2016-05-04 00:00:00,1253.04,1240.85,-12.19,-0.98,1244.92,-8.12,-0.65,1267.31,14.27,1.13,1267.27,14.23,1.12,1305.42,52.38,4.01,pcln
2016-02-17 00:00:00,1235.56,1251.95,16.39,1.31,1288.42,52.86,4.1,1264.21,28.65,2.27,1301.37,65.81,5.06,1317.03,81.47,6.19,pcln
2015-11-09 00:00:00,1311.15,1323.54,12.39,0.94,1314.01,2.86,0.22,1266.87,-44.28,-3.5,1264.32,-46.83,-3.7,1275.71,-35.44,-2.78,pcln
2015-08-05 00:00:00,1351.21,1351.8,0.59,0.04,1323.75,-27.46,-2.07,1294.71,-56.5,-4.36,1291.35,-59.86,-4.64,1320.48,-30.73,-2.33,pcln
2015-05-07 00:00:00,1213.49,1204.76,-8.73,-0.72,1183.47,-30.02,-2.54,1190.09,-23.4,-1.97,1212.63,-0.86,-0.07,1173.96,-39.53,-3.37,pcln
2015-02-19 00:00:00,1218.05,1216.23,-1.82,-0.15,1219.79,1.74,0.14,1241.25,23.2,1.87,1231.9,13.85,1.12,1160.44,-57.61,-4.96,pcln
2014-11-04 00:00:00,1097.7,1095.34,-2.36,-0.22,1094.61,-3.09,-0.28,1167.36,69.66,5.97,1166.83,69.13,5.92,1045.84,-51.86,-4.96,pcln
2014-08-11 00:00:00,1309.28,1294.36,-14.92,-1.15,1284.81,-24.47,-1.9,1276.18,-33.1,-2.59,1277.01,-32.27,-2.53,1165.79,-143.49,-12.31,pcln
2014-05-08 00:00:00,1108.0,1135.91,27.91,2.46,1159.91,51.91,4.48,1136.25,28.25,2.49,1178.06,70.06,5.95,1206.83,98.83,8.19,pcln
2014-02-20 00:00:00,1283.0,1315.65,32.65,2.48,1353.49,70.49,5.21,1357.79,74.79,5.51,1364.4,81.4,5.97,1237.45,-45.55,-3.68,pcln
2013-11-07 00:00:00,1022.89,1073.2,50.31,4.69,1099.49,76.6,6.97,1137.44,114.55,10.07,1159.11,136.22,11.75,1191.57,168.68,14.16,pcln
2013-08-08 00:00:00,933.75,969.89,36.14,3.73,953.61,19.86,2.08,938.79,5.04,0.54,952.15,18.4,1.93,1000.62,66.87,6.68,pcln
2013-05-09 00:00:00,737.5,765.41,27.91,3.65,791.14,53.64,6.78,800.08,62.58,7.82,803.6,66.1,8.23,815.69,78.19,9.59,pcln
2013-02-26 00:00:00,678.49,695.91,17.42,2.5,695.62,17.13,2.46,718.41,39.92,5.56,722.04,43.55,6.03,696.13,17.64,2.53,pcln
2012-11-01 00:00:00,586.1,634.74,48.64,7.66,644.9,58.8,9.12,627.87,41.77,6.65,617.52,31.42,5.09,613.08,26.98,4.4,pcln
2012-08-07 00:00:00,679.8,562.32,-117.48,-20.89,563.16,-116.64,-20.71,564.66,-115.14,-20.39,585.76,-94.04,-16.05,640.73,-39.07,-6.1,pcln
2012-05-09 00:00:00,718.95,681.11,-37.84,-5.56,663.18,-55.77,-8.41,662.24,-56.71,-8.56,673.12,-45.83,-6.81,670.82,-48.13,-7.17,pcln
2012-02-27 00:00:00,591.54,632.76,41.22,6.51,637.32,45.78,7.18,642.69,51.15,7.96,650.95,59.41,9.13,764.75,173.21,22.65,pcln
2011-11-07 00:00:00,509.0,552.85,43.85,7.93,528.36,19.36,3.66,534.4,25.4,4.75,477.65,-31.35,-6.56,459.73,-49.27,-10.72,pcln
2011-08-04 00:00:00,483.34,527.81,44.47,8.43,517.42,34.08,6.59,500.16,16.82,3.36,458.8,-24.54,-5.35,524.0,40.66,7.76,pcln
2011-05-05 00:00:00,533.97,519.03,-14.94,-2.88,528.5,-5.47,-1.04,523.96,-10.01,-1.91,522.1,-11.87,-2.27,461.71,-72.26,-15.65,pcln
2011-02-23 00:00:00,425.99,462.34,36.35,7.86,453.88,27.89,6.14,449.18,23.19,5.16,468.52,42.53,9.08,506.27,80.28,15.86,pcln
