announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30,ticker
2017-10-31 00:00:00,99.49,96.2,-3.29,-3.42,98.71,-0.78,-0.79,99.71,0.22,0.22,98.97,-0.52,-0.53,,,,shop
2017-08-01 00:00:00,104.08,98.35,-5.73,-5.83,96.28,-7.8,-8.1,96.51,-7.57,-7.84,93.15,-10.93,-11.73,120.5,16.42,13.63,shop
2017-05-02 00:00:00,82.98,81.72,-1.26,-1.54,85.53,2.55,2.98,89.15,6.17,6.92,94.93,11.95,12.59,86.93,3.95,4.54,shop
2017-02-15 00:00:00,60.61,60.97,0.36,0.59,61.52,0.91,1.48,63.59,2.98,4.69,59.65,-0.96,-1.61,72.72,12.11,16.65,shop
2016-11-02 00:00:00,43.57,40.41,-3.16,-7.82,40.15,-3.42,-8.52,40.58,-2.99,-7.37,40.36,-3.21,-7.95,41.75,-1.82,-4.36,shop
2016-08-03 00:00:00,36.79,36.85,0.06,0.16,38.31,1.52,3.97,39.29,2.5,6.36,38.74,1.95,5.03,40.9,4.11,10.05,shop
2016-05-04 00:00:00,29.61,28.52,-1.09,-3.82,26.46,-3.15,-11.9,26.27,-3.34,-12.71,26.34,-3.27,-12.41,28.66,-0.95,-3.31,shop
2016-02-17 00:00:00,22.37,20.59,-1.78,-8.64,21.21,-1.16,-5.47,21.02,-1.35,-6.42,24.36,1.99,8.17,27.77,5.4,19.45,shop
2015-11-04 00:00:00,31.75,31.62,-0.13,-0.41,30.23,-1.52,-5.03,28.18,-3.57,-12.67,28.0,-3.75,-13.39,26.21,-5.54,-21.14,shop
2015-07-30 00:00:00,38.13,37.39,-0.74,-1.98,38.41,0.28,0.73,36.28,-1.85,-5.1,35.31,-2.82,-7.99,25.77,-12.36,-47.96,shop
