announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30,ticker
2017-11-07 00:00:00,30.35,31.66,1.31,4.14,31.19,0.84,2.69,30.06,-0.29,-0.96,32.81,2.46,7.5,,,,trip
2017-08-09 00:00:00,40.54,39.71,-0.83,-2.09,41.48,0.94,2.27,40.17,-0.37,-0.92,41.34,0.8,1.94,43.92,3.38,7.7,trip
2017-05-10 00:00:00,47.99,45.63,-2.36,-5.17,46.67,-1.32,-2.83,43.97,-4.02,-9.14,40.8,-7.19,-17.62,35.82,-12.17,-33.98,trip
2017-02-16 00:00:00,46.92,47.06,0.14,0.3,46.84,-0.08,-0.17,43.46,-3.46,-7.96,40.82,-6.1,-14.94,43.31,-3.61,-8.34,trip
2016-11-09 00:00:00,52.63,51.83,-0.8,-1.54,48.8,-3.83,-7.85,50.4,-2.23,-4.42,50.79,-1.84,-3.62,46.28,-6.35,-13.72,trip
2016-08-04 00:00:00,63.59,60.81,-2.78,-4.57,61.1,-2.49,-4.08,61.59,-2.0,-3.25,62.23,-1.36,-2.19,61.82,-1.77,-2.86,trip
2016-05-10 00:00:00,66.1,65.67,-0.43,-0.65,64.46,-1.64,-2.54,65.79,-0.31,-0.47,66.07,-0.03,-0.05,64.51,-1.59,-2.46,trip
2016-02-11 00:00:00,61.07,59.9,-1.17,-1.95,63.32,2.25,3.55,63.07,2.0,3.17,62.05,0.98,1.58,62.23,1.16,1.86,trip
2015-11-05 00:00:00,83.11,77.42,-5.69,-7.35,78.35,-4.76,-6.08,79.15,-3.96,-5.0,84.55,1.44,1.7,85.38,2.27,2.66,trip
2015-07-23 00:00:00,93.37,80.86,-12.51,-15.47,79.34,-14.03,-17.68,78.69,-14.68,-18.66,76.12,-17.25,-22.66,69.47,-23.9,-34.4,trip
2015-05-06 00:00:00,76.8,78.47,1.67,2.13,81.63,4.83,5.92,81.15,4.35,5.36,79.77,2.97,3.72,87.65,10.85,12.38,trip
2015-02-11 00:00:00,67.27,82.4,15.13,18.36,84.81,17.54,20.68,85.58,18.31,21.4,89.17,21.9,24.56,84.18,16.91,20.09,trip
2014-11-04 00:00:00,83.79,71.95,-11.84,-16.46,73.65,-10.14,-13.77,69.99,-13.8,-19.72,70.21,-13.58,-19.34,71.21,-12.58,-17.67,trip
2014-07-23 00:00:00,107.36,101.79,-5.57,-5.47,99.3,-8.06,-8.12,100.02,-7.34,-7.34,94.03,-13.33,-14.18,98.28,-9.08,-9.24,trip
2014-05-06 00:00:00,81.37,83.99,2.62,3.12,84.58,3.21,3.8,86.09,4.72,5.48,85.87,4.5,5.24,104.57,23.2,22.19,trip
2014-02-11 00:00:00,84.2,90.27,6.07,6.72,91.25,7.05,7.73,93.35,9.15,9.8,101.04,16.84,16.67,96.48,12.28,12.73,trip
2013-07-24 00:00:00,61.14,71.1,9.96,14.01,73.29,12.15,16.58,75.02,13.88,18.5,77.99,16.85,21.61,74.74,13.6,18.2,trip
2013-05-07 00:00:00,55.01,52.49,-2.52,-4.8,53.84,-1.17,-2.17,58.01,3.0,5.17,62.34,7.33,11.76,63.85,8.84,13.84,trip
2013-02-13 00:00:00,46.9,43.55,-3.35,-7.69,44.42,-2.48,-5.58,42.76,-4.14,-9.68,45.27,-1.63,-3.6,52.2,5.3,10.15,trip
2012-11-01 00:00:00,29.41,35.12,5.71,16.26,33.83,4.42,13.07,34.17,4.76,13.93,36.6,7.19,19.64,42.71,13.3,31.14,trip
2012-07-24 00:00:00,43.47,36.18,-7.29,-20.15,35.41,-8.06,-22.76,37.41,-6.06,-16.2,38.66,-4.81,-12.44,34.65,-8.82,-25.45,trip
2012-05-01 00:00:00,36.53,42.63,6.1,14.31,40.2,3.67,9.13,41.2,4.67,11.33,42.65,6.12,14.35,45.02,8.49,18.86,trip
