absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
-0.68,-0.43,-1.14,-3.59,-1.29,2017-10-18 00:00:00,37.97,-1.82,-1.15,-3.1,-10.44,-3.52,37.29,37.54,36.83,34.38,36.68,ebay
-0.57,-1.47,-0.86,-1.05,-1.01,2017-07-20 00:00:00,37.18,-1.56,-4.12,-2.37,-2.91,-2.79,36.61,35.71,36.32,36.13,36.17,ebay
-0.36,-1.38,-0.63,-0.0,-0.95,2017-03-01 00:00:00,34.27,-1.06,-4.2,-1.87,-0.0,-2.85,33.91,32.89,33.64,34.27,33.32,ebay
1.51,3.02,1.94,3.09,1.95,2017-01-25 00:00:00,30.23,4.76,9.08,6.03,9.27,6.06,31.74,33.25,32.17,33.32,32.18,ebay
0.88,-3.26,-2.58,-3.13,-2.59,2016-10-18 00:00:00,31.64,2.71,-11.49,-8.88,-10.98,-8.92,32.52,28.38,29.06,28.51,29.05,ebay
2.94,3.96,3.69,5.17,4.32,2016-07-20 00:00:00,26.99,9.82,12.79,12.03,16.08,13.8,29.93,30.95,30.68,32.16,31.31,ebay
0.78,-0.33,-0.06,-0.21,-0.51,2016-04-26 00:00:00,24.49,3.09,-1.37,-0.25,-0.86,-2.13,25.27,24.16,24.43,24.28,23.98,ebay
-3.29,-4.1,-2.48,-2.47,-2.92,2016-01-27 00:00:00,26.42,-14.22,-18.37,-10.36,-10.31,-12.43,23.13,22.32,23.94,23.95,23.5,ebay
3.37,5.09,3.96,4.76,4.04,2015-10-21 00:00:00,24.21,12.22,17.37,14.06,16.43,14.3,27.58,29.3,28.17,28.97,28.25,ebay
0.29,0.76,0.99,-0.51,0.82,2015-07-16 00:00:00,27.61,1.04,2.68,3.46,-1.88,2.88,27.9,28.37,28.6,27.1,28.43,ebay
0.91,0.32,0.99,2.22,0.9,2015-04-22 00:00:00,23.88,3.67,1.32,3.98,8.51,3.63,24.79,24.2,24.87,26.1,24.78,ebay
1.58,0.14,1.12,2.07,0.19,2015-01-21 00:00:00,22.47,6.57,0.62,4.75,8.44,0.84,24.05,22.61,23.59,24.54,22.66,ebay
-0.99,0.46,-0.43,1.83,-0.04,2014-10-15 00:00:00,21.14,-4.91,2.13,-2.08,7.97,-0.19,20.15,21.6,20.71,22.97,21.1,ebay
0.14,1.06,0.42,2.2,0.82,2014-07-16 00:00:00,21.34,0.65,4.73,1.93,9.35,3.7,21.48,22.4,21.76,23.54,22.16,ebay
-1.14,-1.24,-1.06,-2.64,-1.51,2014-04-29 00:00:00,22.95,-5.23,-5.71,-4.84,-13.0,-7.04,21.81,21.71,21.89,20.31,21.44,ebay
0.22,-0.37,-0.64,1.87,-0.93,2014-01-22 00:00:00,22.9,0.95,-1.64,-2.88,7.55,-4.23,23.12,22.53,22.26,24.77,21.97,ebay
-0.91,-0.34,-0.67,-1.78,-0.76,2013-10-16 00:00:00,22.53,-4.21,-1.53,-3.06,-8.58,-3.49,21.62,22.19,21.86,20.75,21.77,ebay
-1.62,-2.39,-2.13,-2.93,-2.22,2013-07-17 00:00:00,24.15,-7.19,-10.98,-9.67,-13.81,-10.12,22.53,21.76,22.02,21.22,21.93,ebay
-1.38,-1.56,-1.88,-0.44,-1.32,2013-04-17 00:00:00,23.61,-6.21,-7.07,-8.65,-1.9,-5.92,22.23,22.05,21.73,23.17,22.29,ebay
0.54,1.22,0.56,0.53,0.21,2013-01-16 00:00:00,22.26,2.37,5.2,2.45,2.33,0.93,22.8,23.48,22.82,22.79,22.47,ebay
1.1,0.02,0.82,1.37,0.28,2012-10-17 00:00:00,20.29,5.14,0.1,3.88,6.33,1.36,21.39,20.31,21.11,21.66,20.57,ebay
1.47,1.44,1.59,2.96,1.15,2012-07-18 00:00:00,17.03,7.95,7.8,8.54,14.81,6.33,18.5,18.47,18.62,19.99,18.18,ebay
2.0,2.22,1.59,1.56,1.68,2012-04-18 00:00:00,15.1,11.7,12.82,9.53,9.36,10.01,17.1,17.32,16.69,16.66,16.78,ebay
0.49,0.78,0.69,2.27,0.67,2012-01-18 00:00:00,12.77,3.7,5.76,5.13,15.09,4.99,13.26,13.55,13.46,15.04,13.44,ebay
-0.43,-0.58,-0.34,-1.51,-0.88,2011-10-19 00:00:00,13.96,-3.18,-4.33,-2.5,-12.13,-6.73,13.53,13.38,13.62,12.45,13.08,ebay
0.11,-0.39,0.27,-0.97,0.08,2011-07-20 00:00:00,13.96,0.78,-2.87,1.9,-7.47,0.57,14.07,13.57,14.23,12.99,14.04,ebay
-0.01,-0.3,-0.16,-1.45,-0.43,2011-04-27 00:00:00,14.32,-0.07,-2.14,-1.13,-11.27,-3.1,14.31,14.02,14.16,12.87,13.89,ebay
0.7,1.17,0.59,1.5,0.82,2011-01-19 00:00:00,12.25,5.41,8.72,4.6,10.91,6.27,12.95,13.42,12.84,13.75,13.07,ebay
