absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
-23.56,-30.03,-22.69,-28.14,-23.84,2017-10-26 00:00:00,147.35,-19.03,-25.6,-18.2,-23.61,-19.3,123.79,117.32,124.66,119.21,123.51,expe
5.25,-10.7,-1.56,-10.28,-0.57,2017-07-27 00:00:00,154.25,3.29,-7.45,-1.02,-7.14,-0.37,159.5,143.55,152.69,143.97,153.68,expe
-2.48,3.66,2.79,13.02,4.9,2017-04-27 00:00:00,136.2,-1.85,2.62,2.01,8.73,3.47,133.72,139.86,138.99,149.22,141.1,expe
-0.6,-3.62,-3.58,3.79,-3.4,2017-02-09 00:00:00,123.25,-0.49,-3.03,-2.99,2.98,-2.84,122.65,119.63,119.67,127.04,119.85,expe
5.22,-2.79,-0.43,-3.42,-1.13,2016-10-27 00:00:00,126.42,3.97,-2.26,-0.34,-2.78,-0.9,131.64,123.63,125.99,123.0,125.29,expe
-2.62,-4.47,-5.72,-5.2,-5.76,2016-07-28 00:00:00,119.27,-2.25,-3.89,-5.04,-4.56,-5.07,116.65,114.8,113.55,114.07,113.51,expe
8.78,5.95,8.98,2.12,5.56,2016-04-28 00:00:00,106.99,7.58,5.27,7.74,1.94,4.94,115.77,112.94,115.97,109.11,112.55,expe
9.02,10.05,7.9,14.64,16.53,2016-02-10 00:00:00,94.35,8.73,9.63,7.73,13.43,14.91,103.37,104.4,102.25,108.99,110.88,expe
9.24,0.88,9.33,-1.45,10.25,2015-10-29 00:00:00,127.06,6.78,0.69,6.84,-1.15,7.46,136.3,127.94,136.39,125.61,137.31,expe
13.83,13.05,16.95,8.33,13.99,2015-07-30 00:00:00,107.61,11.39,10.82,13.61,7.18,11.5,121.44,120.66,124.56,115.94,121.6,expe
7.46,9.91,4.54,13.64,6.74,2015-04-30 00:00:00,94.23,7.34,9.52,4.6,12.64,6.68,101.69,104.14,98.77,107.87,100.97,expe
-10.13,3.3,-9.81,6.68,1.57,2015-02-05 00:00:00,88.0,-13.01,3.61,-12.55,7.06,1.75,77.87,91.3,78.19,94.68,89.57,expe
4.24,5.76,3.16,6.59,3.33,2014-10-30 00:00:00,80.73,4.99,6.66,3.77,7.55,3.96,84.97,86.49,83.89,87.32,84.06,expe
5.04,5.51,4.93,7.75,4.1,2014-07-31 00:00:00,79.42,5.97,6.49,5.84,8.89,4.91,84.46,84.93,84.35,87.17,83.52,expe
-2.72,-4.09,-3.36,0.11,-5.43,2014-05-01 00:00:00,73.87,-3.82,-5.86,-4.77,0.15,-7.93,71.15,69.78,70.51,73.98,68.44,expe
9.31,14.57,9.65,10.07,11.55,2014-02-06 00:00:00,65.14,12.51,18.28,12.9,13.39,15.06,74.45,79.71,74.79,75.21,76.69,expe
9.01,11.76,10.28,12.35,9.85,2013-10-30 00:00:00,49.96,15.28,19.05,17.07,19.82,16.47,58.97,61.72,60.24,62.31,59.81,expe
-17.8,-14.1,-17.51,-16.82,-17.8,2013-07-25 00:00:00,65.0,-37.71,-27.7,-36.87,-34.91,-37.71,47.2,50.9,47.49,48.18,47.2,expe
-6.41,-9.0,-9.13,-9.37,-8.2,2013-04-25 00:00:00,64.97,-10.95,-16.08,-16.35,-16.85,-14.44,58.56,55.97,55.84,55.6,56.77,expe
-1.8,-3.08,-1.85,-4.85,-1.95,2013-02-05 00:00:00,67.5,-2.74,-4.78,-2.82,-7.74,-2.97,65.7,64.42,65.65,62.65,65.55,expe
7.81,6.94,7.81,8.43,8.43,2012-10-25 00:00:00,51.25,13.22,11.93,13.22,14.13,14.13,59.06,58.19,59.06,59.68,59.68,expe
9.19,10.25,11.28,7.67,11.09,2012-07-26 00:00:00,45.71,16.74,18.32,19.79,14.37,19.52,54.9,55.96,56.99,53.38,56.8,expe
7.68,8.28,9.01,13.4,8.8,2012-04-26 00:00:00,32.63,19.05,20.24,21.64,29.11,21.24,40.31,40.91,41.64,46.03,41.43,expe
-0.62,-0.91,-0.24,0.06,-0.89,2012-02-09 00:00:00,34.16,-1.85,-2.74,-0.71,0.18,-2.68,33.54,33.25,33.92,34.22,33.27,expe
-3.62,-3.24,-3.42,-2.1,-1.9,2011-10-27 00:00:00,58.18,-6.63,-5.9,-6.25,-3.74,-3.38,54.56,54.94,54.76,56.08,56.28,expe
5.4,-1.12,2.92,2.02,-0.24,2011-07-28 00:00:00,57.98,8.52,-1.97,4.79,3.37,-0.42,63.38,56.86,60.9,60.0,57.74,expe
0.68,0.88,0.6,5.28,0.1,2011-04-28 00:00:00,49.36,1.36,1.75,1.2,9.66,0.2,50.04,50.24,49.96,54.64,49.46,expe
-8.76,-10.84,-7.96,-7.66,-9.36,2011-02-10 00:00:00,51.38,-20.55,-26.74,-18.33,-17.52,-22.28,42.62,40.54,43.42,43.72,42.02,expe
