absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
-4.85,-3.05,-4.45,,-6.9,2017-11-08 00:00:00,84.4,-6.1,-3.75,-5.57,,-8.9,79.55,81.35,79.95,,77.5,hubs
2.0,0.55,0.7,2.6,-0.8,2017-08-02 00:00:00,70.1,2.77,0.78,0.99,3.58,-1.15,72.1,70.65,70.8,72.7,69.3,hubs
5.2,4.1,4.0,3.9,3.2,2017-05-02 00:00:00,66.65,7.24,5.8,5.66,5.53,4.58,71.85,70.75,70.65,70.55,69.85,hubs
1.35,2.1,2.6,1.9,4.4,2017-02-14 00:00:00,57.4,2.3,3.53,4.33,3.2,7.12,58.75,59.5,60.0,59.3,61.8,hubs
1.05,8.7,5.55,-0.2,7.85,2016-11-02 00:00:00,48.9,2.1,15.1,10.19,-0.41,13.83,49.95,57.6,54.45,48.7,56.75,hubs
6.13,6.37,7.17,3.93,8.69,2016-08-03 00:00:00,50.57,10.81,11.19,12.42,7.21,14.66,56.7,56.94,57.74,54.5,59.26,hubs
-2.56,-2.08,-3.32,2.19,-1.38,2016-05-04 00:00:00,46.25,-5.86,-4.71,-7.73,4.52,-3.08,43.69,44.17,42.93,48.44,44.87,hubs
3.98,7.49,3.18,16.36,5.3,2016-02-10 00:00:00,29.04,12.05,20.5,9.87,36.04,15.43,33.02,36.53,32.22,45.4,34.34,hubs
0.53,-0.2,-0.16,3.21,-1.41,2015-11-04 00:00:00,53.11,0.99,-0.38,-0.3,5.7,-2.73,53.64,52.91,52.95,56.32,51.7,hubs
-0.85,-4.53,-2.67,0.07,-4.28,2015-08-06 00:00:00,50.51,-1.71,-9.85,-5.58,0.14,-9.26,49.66,45.98,47.84,50.58,46.23,hubs
7.65,11.93,5.81,11.35,8.8,2015-05-06 00:00:00,40.25,15.97,22.86,12.61,22.0,17.94,47.9,52.18,46.06,51.6,49.05,hubs
2.65,7.02,8.87,3.58,6.58,2015-02-11 00:00:00,34.42,7.15,16.94,20.49,9.42,16.05,37.07,41.44,43.29,38.0,41.0,hubs
