absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
-257.28,-148.98,-199.86,,-180.85,2017-11-06 00:00:00,1903.0,-15.63,-8.49,-11.73,,-10.5,1645.72,1754.02,1703.14,,1722.15,pcln
-142.2,-230.8,-194.83,-189.22,-188.16,2017-08-08 00:00:00,2049.0,-7.46,-12.69,-10.51,-10.17,-10.11,1906.8,1818.2,1854.17,1859.78,1860.84,pcln
-86.36,-83.19,-92.95,-60.49,-81.33,2017-05-09 00:00:00,1911.13,-4.73,-4.55,-5.11,-3.27,-4.44,1824.77,1827.94,1818.18,1850.64,1829.8,pcln
92.12,135.11,102.36,143.96,98.2,2017-02-27 00:00:00,1632.01,5.34,7.65,5.9,8.11,5.68,1724.13,1767.12,1734.37,1775.97,1730.21,pcln
97.8,43.85,73.99,8.5,8.85,2016-11-07 00:00:00,1480.33,6.2,2.88,4.76,0.57,0.59,1578.13,1524.18,1554.32,1488.83,1489.18,pcln
54.23,83.08,47.02,97.23,46.93,2016-08-04 00:00:00,1359.99,3.83,5.76,3.34,6.67,3.34,1414.22,1443.07,1407.01,1457.22,1406.92,pcln
-12.19,14.23,-8.12,52.38,14.27,2016-05-04 00:00:00,1253.04,-0.98,1.12,-0.65,4.01,1.13,1240.85,1267.27,1244.92,1305.42,1267.31,pcln
16.39,65.81,52.86,81.47,28.65,2016-02-17 00:00:00,1235.56,1.31,5.06,4.1,6.19,2.27,1251.95,1301.37,1288.42,1317.03,1264.21,pcln
12.39,-46.83,2.86,-35.44,-44.28,2015-11-09 00:00:00,1311.15,0.94,-3.7,0.22,-2.78,-3.5,1323.54,1264.32,1314.01,1275.71,1266.87,pcln
0.59,-59.86,-27.46,-30.73,-56.5,2015-08-05 00:00:00,1351.21,0.04,-4.64,-2.07,-2.33,-4.36,1351.8,1291.35,1323.75,1320.48,1294.71,pcln
-8.73,-0.86,-30.02,-39.53,-23.4,2015-05-07 00:00:00,1213.49,-0.72,-0.07,-2.54,-3.37,-1.97,1204.76,1212.63,1183.47,1173.96,1190.09,pcln
-1.82,13.85,1.74,-57.61,23.2,2015-02-19 00:00:00,1218.05,-0.15,1.12,0.14,-4.96,1.87,1216.23,1231.9,1219.79,1160.44,1241.25,pcln
-2.36,69.13,-3.09,-51.86,69.66,2014-11-04 00:00:00,1097.7,-0.22,5.92,-0.28,-4.96,5.97,1095.34,1166.83,1094.61,1045.84,1167.36,pcln
-14.92,-32.27,-24.47,-143.49,-33.1,2014-08-11 00:00:00,1309.28,-1.15,-2.53,-1.9,-12.31,-2.59,1294.36,1277.01,1284.81,1165.79,1276.18,pcln
27.91,70.06,51.91,98.83,28.25,2014-05-08 00:00:00,1108.0,2.46,5.95,4.48,8.19,2.49,1135.91,1178.06,1159.91,1206.83,1136.25,pcln
32.65,81.4,70.49,-45.55,74.79,2014-02-20 00:00:00,1283.0,2.48,5.97,5.21,-3.68,5.51,1315.65,1364.4,1353.49,1237.45,1357.79,pcln
50.31,136.22,76.6,168.68,114.55,2013-11-07 00:00:00,1022.89,4.69,11.75,6.97,14.16,10.07,1073.2,1159.11,1099.49,1191.57,1137.44,pcln
36.14,18.4,19.86,66.87,5.04,2013-08-08 00:00:00,933.75,3.73,1.93,2.08,6.68,0.54,969.89,952.15,953.61,1000.62,938.79,pcln
27.91,66.1,53.64,78.19,62.58,2013-05-09 00:00:00,737.5,3.65,8.23,6.78,9.59,7.82,765.41,803.6,791.14,815.69,800.08,pcln
17.42,43.55,17.13,17.64,39.92,2013-02-26 00:00:00,678.49,2.5,6.03,2.46,2.53,5.56,695.91,722.04,695.62,696.13,718.41,pcln
48.64,31.42,58.8,26.98,41.77,2012-11-01 00:00:00,586.1,7.66,5.09,9.12,4.4,6.65,634.74,617.52,644.9,613.08,627.87,pcln
-117.48,-94.04,-116.64,-39.07,-115.14,2012-08-07 00:00:00,679.8,-20.89,-16.05,-20.71,-6.1,-20.39,562.32,585.76,563.16,640.73,564.66,pcln
-37.84,-45.83,-55.77,-48.13,-56.71,2012-05-09 00:00:00,718.95,-5.56,-6.81,-8.41,-7.17,-8.56,681.11,673.12,663.18,670.82,662.24,pcln
41.22,59.41,45.78,173.21,51.15,2012-02-27 00:00:00,591.54,6.51,9.13,7.18,22.65,7.96,632.76,650.95,637.32,764.75,642.69,pcln
43.85,-31.35,19.36,-49.27,25.4,2011-11-07 00:00:00,509.0,7.93,-6.56,3.66,-10.72,4.75,552.85,477.65,528.36,459.73,534.4,pcln
44.47,-24.54,34.08,40.66,16.82,2011-08-04 00:00:00,483.34,8.43,-5.35,6.59,7.76,3.36,527.81,458.8,517.42,524.0,500.16,pcln
-14.94,-11.87,-5.47,-72.26,-10.01,2011-05-05 00:00:00,533.97,-2.88,-2.27,-1.04,-15.65,-1.91,519.03,522.1,528.5,461.71,523.96,pcln
36.35,42.53,27.89,80.28,23.19,2011-02-23 00:00:00,425.99,7.86,9.08,6.14,15.86,5.16,462.34,468.52,453.88,506.27,449.18,pcln
