absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
-3.29,-0.52,-0.78,,0.22,2017-10-31 00:00:00,99.49,-3.42,-0.53,-0.79,,0.22,96.2,98.97,98.71,,99.71,shop
-5.73,-10.93,-7.8,16.42,-7.57,2017-08-01 00:00:00,104.08,-5.83,-11.73,-8.1,13.63,-7.84,98.35,93.15,96.28,120.5,96.51,shop
-1.26,11.95,2.55,3.95,6.17,2017-05-02 00:00:00,82.98,-1.54,12.59,2.98,4.54,6.92,81.72,94.93,85.53,86.93,89.15,shop
0.36,-0.96,0.91,12.11,2.98,2017-02-15 00:00:00,60.61,0.59,-1.61,1.48,16.65,4.69,60.97,59.65,61.52,72.72,63.59,shop
-3.16,-3.21,-3.42,-1.82,-2.99,2016-11-02 00:00:00,43.57,-7.82,-7.95,-8.52,-4.36,-7.37,40.41,40.36,40.15,41.75,40.58,shop
0.06,1.95,1.52,4.11,2.5,2016-08-03 00:00:00,36.79,0.16,5.03,3.97,10.05,6.36,36.85,38.74,38.31,40.9,39.29,shop
-1.09,-3.27,-3.15,-0.95,-3.34,2016-05-04 00:00:00,29.61,-3.82,-12.41,-11.9,-3.31,-12.71,28.52,26.34,26.46,28.66,26.27,shop
-1.78,1.99,-1.16,5.4,-1.35,2016-02-17 00:00:00,22.37,-8.64,8.17,-5.47,19.45,-6.42,20.59,24.36,21.21,27.77,21.02,shop
-0.13,-3.75,-1.52,-5.54,-3.57,2015-11-04 00:00:00,31.75,-0.41,-13.39,-5.03,-21.14,-12.67,31.62,28.0,30.23,26.21,28.18,shop
-0.74,-2.82,0.28,-12.36,-1.85,2015-07-30 00:00:00,38.13,-1.98,-7.99,0.73,-47.96,-5.1,37.39,35.31,38.41,25.77,36.28,shop
