absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
1.31,2.46,0.84,,-0.29,2017-11-07 00:00:00,30.35,4.14,7.5,2.69,,-0.96,31.66,32.81,31.19,,30.06,trip
-0.83,0.8,0.94,3.38,-0.37,2017-08-09 00:00:00,40.54,-2.09,1.94,2.27,7.7,-0.92,39.71,41.34,41.48,43.92,40.17,trip
-2.36,-7.19,-1.32,-12.17,-4.02,2017-05-10 00:00:00,47.99,-5.17,-17.62,-2.83,-33.98,-9.14,45.63,40.8,46.67,35.82,43.97,trip
0.14,-6.1,-0.08,-3.61,-3.46,2017-02-16 00:00:00,46.92,0.3,-14.94,-0.17,-8.34,-7.96,47.06,40.82,46.84,43.31,43.46,trip
-0.8,-1.84,-3.83,-6.35,-2.23,2016-11-09 00:00:00,52.63,-1.54,-3.62,-7.85,-13.72,-4.42,51.83,50.79,48.8,46.28,50.4,trip
-2.78,-1.36,-2.49,-1.77,-2.0,2016-08-04 00:00:00,63.59,-4.57,-2.19,-4.08,-2.86,-3.25,60.81,62.23,61.1,61.82,61.59,trip
-0.43,-0.03,-1.64,-1.59,-0.31,2016-05-10 00:00:00,66.1,-0.65,-0.05,-2.54,-2.46,-0.47,65.67,66.07,64.46,64.51,65.79,trip
-1.17,0.98,2.25,1.16,2.0,2016-02-11 00:00:00,61.07,-1.95,1.58,3.55,1.86,3.17,59.9,62.05,63.32,62.23,63.07,trip
-5.69,1.44,-4.76,2.27,-3.96,2015-11-05 00:00:00,83.11,-7.35,1.7,-6.08,2.66,-5.0,77.42,84.55,78.35,85.38,79.15,trip
-12.51,-17.25,-14.03,-23.9,-14.68,2015-07-23 00:00:00,93.37,-15.47,-22.66,-17.68,-34.4,-18.66,80.86,76.12,79.34,69.47,78.69,trip
1.67,2.97,4.83,10.85,4.35,2015-05-06 00:00:00,76.8,2.13,3.72,5.92,12.38,5.36,78.47,79.77,81.63,87.65,81.15,trip
15.13,21.9,17.54,16.91,18.31,2015-02-11 00:00:00,67.27,18.36,24.56,20.68,20.09,21.4,82.4,89.17,84.81,84.18,85.58,trip
-11.84,-13.58,-10.14,-12.58,-13.8,2014-11-04 00:00:00,83.79,-16.46,-19.34,-13.77,-17.67,-19.72,71.95,70.21,73.65,71.21,69.99,trip
-5.57,-13.33,-8.06,-9.08,-7.34,2014-07-23 00:00:00,107.36,-5.47,-14.18,-8.12,-9.24,-7.34,101.79,94.03,99.3,98.28,100.02,trip
2.62,4.5,3.21,23.2,4.72,2014-05-06 00:00:00,81.37,3.12,5.24,3.8,22.19,5.48,83.99,85.87,84.58,104.57,86.09,trip
6.07,16.84,7.05,12.28,9.15,2014-02-11 00:00:00,84.2,6.72,16.67,7.73,12.73,9.8,90.27,101.04,91.25,96.48,93.35,trip
9.96,16.85,12.15,13.6,13.88,2013-07-24 00:00:00,61.14,14.01,21.61,16.58,18.2,18.5,71.1,77.99,73.29,74.74,75.02,trip
-2.52,7.33,-1.17,8.84,3.0,2013-05-07 00:00:00,55.01,-4.8,11.76,-2.17,13.84,5.17,52.49,62.34,53.84,63.85,58.01,trip
-3.35,-1.63,-2.48,5.3,-4.14,2013-02-13 00:00:00,46.9,-7.69,-3.6,-5.58,10.15,-9.68,43.55,45.27,44.42,52.2,42.76,trip
5.71,7.19,4.42,13.3,4.76,2012-11-01 00:00:00,29.41,16.26,19.64,13.07,31.14,13.93,35.12,36.6,33.83,42.71,34.17,trip
-7.29,-4.81,-8.06,-8.82,-6.06,2012-07-24 00:00:00,43.47,-20.15,-12.44,-22.76,-25.45,-16.2,36.18,38.66,35.41,34.65,37.41,trip
6.1,6.12,3.67,8.49,4.67,2012-05-01 00:00:00,36.53,14.31,14.35,9.13,18.86,11.33,42.63,42.65,40.2,45.02,41.2,trip
