absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
-3.43,-4.83,-5.03,,-5.93,2017-11-08 00:00:00,60.03,-6.06,-8.75,-9.15,,-10.96,56.6,55.2,55.0,,54.1,wix
-9.7,-16.7,-11.25,-7.45,-10.85,2017-07-27 00:00:00,73.6,-15.18,-29.35,-18.04,-11.26,-17.29,63.9,56.9,62.35,66.15,62.75,wix
-3.25,-2.1,0.95,-5.15,-5.3,2017-05-10 00:00:00,77.45,-4.38,-2.79,1.21,-7.12,-7.35,74.2,75.35,78.4,72.3,72.15,wix
1.45,1.25,2.35,5.25,4.05,2017-02-15 00:00:00,61.5,2.3,1.99,3.68,7.87,6.18,62.95,62.75,63.85,66.75,65.55,wix
1.6,4.25,-1.75,-4.5,0.8,2016-11-10 00:00:00,47.85,3.24,8.16,-3.8,-10.38,1.64,49.45,52.1,46.1,43.35,48.65,wix
-0.61,1.86,-0.54,7.92,-1.25,2016-07-27 00:00:00,36.52,-1.7,4.85,-1.5,17.82,-3.54,35.91,38.38,35.98,44.44,35.27,wix
0.44,0.99,0.73,3.08,1.55,2016-05-04 00:00:00,24.96,1.73,3.82,2.84,10.98,5.85,25.4,25.95,25.69,28.04,26.51,wix
-0.39,1.4,1.18,1.74,1.75,2016-02-10 00:00:00,17.85,-2.23,7.27,6.2,8.88,8.93,17.46,19.25,19.03,19.59,19.6,wix
0.11,1.24,0.51,0.72,0.43,2015-11-04 00:00:00,22.63,0.48,5.19,2.2,3.08,1.86,22.74,23.87,23.14,23.35,23.06,wix
-1.16,-0.46,-0.42,-3.37,-1.13,2015-08-05 00:00:00,22.87,-5.34,-2.05,-1.87,-17.28,-5.2,21.71,22.41,22.45,19.5,21.74,wix
1.06,2.93,1.05,1.62,1.38,2015-05-06 00:00:00,22.46,4.51,11.54,4.47,6.73,5.79,23.52,25.39,23.51,24.08,23.84,wix
-0.11,-0.3,-0.37,-0.87,-0.35,2015-02-11 00:00:00,19.21,-0.58,-1.59,-1.96,-4.74,-1.86,19.1,18.91,18.84,18.34,18.86,wix
-0.63,2.3,-0.2,2.21,1.29,2014-11-05 00:00:00,17.69,-3.69,11.51,-1.14,11.11,6.8,17.06,19.99,17.49,19.9,18.98,wix
-0.84,-0.72,-1.12,0.06,-0.83,2014-08-06 00:00:00,17.62,-5.01,-4.26,-6.79,0.34,-4.94,16.78,16.9,16.5,17.68,16.79,wix
-0.62,-0.19,-1.41,3.2,-1.22,2014-05-13 00:00:00,16.84,-3.82,-1.14,-9.14,15.97,-7.81,16.22,16.65,15.43,20.04,15.62,wix
-0.36,1.4,-0.77,-7.4,-1.87,2014-02-12 00:00:00,29.81,-1.22,4.49,-2.65,-33.02,-6.69,29.45,31.21,29.04,22.41,27.94,wix
