absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
-0.05,-0.44,-0.38,,-0.92,2017-11-01 00:00:00,46.03,-0.11,-0.97,-0.83,,-2.04,45.98,45.59,45.65,,45.11,yelp
8.68,10.06,10.32,11.54,9.56,2017-08-03 00:00:00,31.37,21.67,24.28,24.75,26.89,23.36,40.05,41.43,41.69,42.91,40.93,yelp
-6.37,-6.92,-6.0,-5.26,-6.18,2017-05-09 00:00:00,34.7,-22.48,-24.91,-20.91,-17.87,-21.67,28.33,27.78,28.7,29.44,28.52,yelp
-5.66,-8.02,-5.64,-8.72,-6.72,2017-02-09 00:00:00,41.49,-15.8,-23.96,-15.73,-26.61,-19.33,35.83,33.47,35.85,32.77,34.77,yelp
-0.15,0.8,1.5,-0.4,2.58,2016-11-02 00:00:00,35.71,-0.42,2.19,4.03,-1.13,6.74,35.56,36.51,37.21,35.31,38.29,yelp
4.19,4.98,5.84,4.58,4.9,2016-08-09 00:00:00,32.64,11.38,13.24,15.18,12.31,13.05,36.83,37.62,38.48,37.22,37.54,yelp
-0.37,3.01,-0.83,4.44,-0.5,2016-02-08 00:00:00,16.06,-2.36,15.78,-5.45,21.66,-3.21,15.69,19.07,15.23,20.5,15.56,yelp
0.88,2.91,1.73,7.93,2.35,2015-10-28 00:00:00,22.07,3.83,11.65,7.27,26.43,9.62,22.95,24.98,23.8,30.0,24.42,yelp
-8.45,-8.16,-7.11,-9.53,-7.33,2015-07-28 00:00:00,33.51,-33.72,-32.19,-26.93,-39.74,-28.0,25.06,25.35,26.4,23.98,26.18,yelp
-11.89,-3.44,-11.67,-6.82,-13.06,2015-04-29 00:00:00,51.28,-30.19,-7.19,-29.46,-15.34,-34.17,39.39,47.84,39.61,44.46,38.22,yelp
-12.36,-10.13,-12.81,-12.29,-9.84,2015-02-05 00:00:00,57.47,-27.4,-21.4,-28.68,-27.2,-20.66,45.11,47.34,44.66,45.18,47.63,yelp
-13.06,-12.58,-13.02,-15.46,-13.55,2014-10-22 00:00:00,70.23,-22.84,-21.82,-22.76,-28.23,-23.91,57.17,57.65,57.21,54.77,56.68,yelp
-8.44,-1.14,-7.03,7.04,-7.82,2014-07-30 00:00:00,75.6,-12.57,-1.53,-10.25,8.52,-11.54,67.16,74.46,68.57,82.64,67.78,yelp
5.7,-3.71,1.87,7.45,-5.58,2014-04-30 00:00:00,58.32,8.9,-6.79,3.11,11.33,-10.58,64.02,54.61,60.19,65.77,52.74,yelp
14.23,14.77,15.88,12.59,15.53,2014-02-05 00:00:00,75.23,15.91,16.41,17.43,14.34,17.11,89.46,90.0,91.11,87.82,90.76,yelp
-1.78,-3.7,-1.68,-3.3,2.3,2013-10-29 00:00:00,68.83,-2.65,-5.68,-2.5,-5.04,3.23,67.05,65.13,67.15,65.53,71.13,yelp
9.7,9.02,12.21,22.78,10.28,2013-07-31 00:00:00,41.8,18.83,17.75,22.61,35.27,19.74,51.5,50.82,54.01,64.58,52.08,yelp
6.92,4.71,5.39,4.09,4.61,2013-05-01 00:00:00,25.3,21.48,15.69,17.56,13.92,15.41,32.22,30.01,30.69,29.39,29.91,yelp
-1.03,-0.49,-0.75,1.74,-0.59,2013-02-06 00:00:00,22.38,-4.82,-2.24,-3.47,7.21,-2.71,21.35,21.89,21.63,24.12,21.79,yelp
-3.52,-6.82,-5.78,-4.37,-6.26,2012-11-01 00:00:00,24.03,-17.16,-39.63,-31.67,-22.23,-35.23,20.51,17.21,18.25,19.66,17.77,yelp
3.18,3.29,6.61,6.98,7.64,2012-08-01 00:00:00,18.82,14.45,14.88,25.99,27.05,28.87,22.0,22.11,25.43,25.8,26.46,yelp
-2.52,-1.56,-1.75,-3.38,-2.18,2012-05-02 00:00:00,23.16,-12.21,-7.22,-8.17,-17.09,-10.39,20.64,21.6,21.41,19.78,20.98,yelp
