absolute_price_difference_at_day_1,absolute_price_difference_at_day_10,absolute_price_difference_at_day_3,absolute_price_difference_at_day_30,absolute_price_difference_at_day_5,announcement_date,announcement_date_close_price,percent_price_difference_at_day_1,percent_price_difference_at_day_10,percent_price_difference_at_day_3,percent_price_difference_at_day_30,percent_price_difference_at_day_5,price_at_day_1,price_at_day_10,price_at_day_3,price_at_day_30,price_at_day_5,ticker
-0.05,-0.44,-0.38,,-0.92,2017-11-01 00:00:00,46.03,-0.11,-0.97,-0.83,,-2.04,45.98,45.59,45.65,,45.11,yelp
8.68,10.06,10.32,11.54,9.56,2017-08-03 00:00:00,31.37,21.67,24.28,24.75,26.89,23.36,40.05,41.43,41.69,42.91,40.93,yelp
-6.37,-6.92,-6.0,-5.26,-6.18,2017-05-09 00:00:00,34.7,-22.48,-24.91,-20.91,-17.87,-21.67,28.33,27.78,28.7,29.44,28.52,yelp
-5.66,-8.02,-5.64,-8.72,-6.72,2017-02-09 00:00:00,41.49,-15.8,-23.96,-15.73,-26.61,-19.33,35.83,33.47,35.85,32.77,34.77,yelp
-0.15,0.8,1.5,-0.4,2.58,2016-11-02 00:00:00,35.71,-0.42,2.19,4.03,-1.13,6.74,35.56,36.51,37.21,35.31,38.29,yelp
4.19,4.98,5.84,4.58,4.9,2016-08-09 00:00:00,32.64,11.38,13.24,15.18,12.31,13.05,36.83,37.62,38.48,37.22,37.54,yelp
-0.37,3.01,-0.83,4.44,-0.5,2016-02-08 00:00:00,16.06,-2.36,15.78,-5.45,21.66,-3.21,15.69,19.07,15.23,20.5,15.56,yelp
0.88,2.91,1.73,7.93,2.35,2015-10-28 00:00:00,22.07,3.83,11.65,7.27,26.43,9.62,22.95,24.98,23.8,30.0,24.42,yelp
-8.45,-8.16,-7.11,-9.53,-7.33,2015-07-28 00:00:00,33.51,-33.72,-32.19,-26.93,-39.74,-28.0,25.06,25.35,26.4,23.98,26.18,yelp
-11.89,-3.44,-11.67,-6.82,-13.06,2015-04-29 00:00:00,51.28,-30.19,-7.19,-29.46,-15.34,-34.17,39.39,47.84,39.61,44.46,38.22,yelp
-12.36,-10.13,-12.81,-12.29,-9.84,2015-02-05 00:00:00,57.47,-27.4,-21.4,-28.68,-27.2,-20.66,45.11,47.34,44.66,45.18,47.63,yelp
